ID,Usia,Jam_Kerja_per_Minggu,Pengalaman_Tahun,Pelatihan_K3,Shift,Jabatan,Lokasi,Kecelakaan
1,58,47,10,Ya,Pagi,Supervisor,Gudang,0
2,48,44,17,Tidak,Siang,Supervisor,Gudang,0
3,34,40,22,Ya,Pagi,Manager,Gudang,0
4,27,37,26,Tidak,Malam,Manager,Gudang,0
5,40,42,25,Tidak,Pagi,Supervisor,Gudang,0
6,58,49,17,Tidak,Siang,Manager,Gudang,0
7,38,46,13,Tidak,Siang,Operator,Gudang,0
8,42,38,20,Tidak,Siang,Operator,Quality_Control,1
9,65,45,25,Ya,Siang,Operator,Gudang,0
10,30,46,4,Tidak,Siang,Supervisor,Quality_Control,0
11,43,40,10,Tidak,Pagi,Operator,Produksi,1
12,55,45,3,Tidak,Pagi,Manager,Gudang,0
13,59,45,18,Ya,Pagi,Supervisor,Produksi,0
14,43,39,22,Tidak,Pagi,Manager,Produksi,0
15,22,46,34,Ya,Siang,Operator,Produksi,0
16,41,47,8,Tidak,Malam,Operator,Quality_Control,1
17,21,50,19,Tidak,Pagi,Operator,Produksi,0
18,43,50,6,Ya,Malam,Supervisor,Produksi,1
19,49,38,26,Tidak,Pagi,Manager,Produksi,0
20,57,40,34,Ya,Pagi,Supervisor,Gudang,0
21,21,47,6,Ya,Malam,Supervisor,Gudang,0
22,40,47,33,Tidak,Siang,Operator,Quality_Control,0
23,52,47,22,Ya,Pagi,Supervisor,Quality_Control,0
24,31,64,21,Tidak,Pagi,Supervisor,Gudang,1
25,41,80,6,Tidak,Pagi,Operator,Quality_Control,1
26,44,50,6,Ya,Malam,Supervisor,Gudang,0
27,46,49,4,Ya,Siang,Operator,Produksi,1
28,47,48,30,Ya,Malam,Operator,Produksi,1
29,35,43,11,Ya,Malam,Operator,Quality_Control,0
30,34,48,30,Tidak,Siang,Operator,Gudang,0
31,22,41,31,Tidak,Malam,Supervisor,Gudang,0
32,56,43,24,Ya,Siang,Operator,Quality_Control,0
33,26,42,9,Tidak,Pagi,Operator,Gudang,0
34,40,45,3,Tidak,Siang,Supervisor,Produksi,0
35,28,56,31,Tidak,Pagi,Supervisor,Quality_Control,1
36,58,35,24,Tidak,Malam,Manager,Quality_Control,0
37,37,48,31,Ya,Malam,Supervisor,Gudang,0
38,23,36,6,Ya,Pagi,Supervisor,Quality_Control,1
39,44,42,2,Tidak,Malam,Manager,Gudang,1
40,33,50,20,Ya,Siang,Supervisor,Gudang,0
41,28,45,28,Ya,Pagi,Supervisor,Gudang,1
42,45,39,11,Ya,Malam,Supervisor,Gudang,0
43,21,41,4,Tidak,Pagi,Supervisor,Gudang,0
44,39,48,15,Tidak,Siang,Manager,Quality_Control,0
45,47,41,6,Tidak,Siang,Supervisor,Produksi,0
46,26,46,30,Ya,Malam,Supervisor,Produksi,0
47,27,45,2,Tidak,Siang,Manager,Quality_Control,0
48,54,41,15,Tidak,Pagi,Operator,Quality_Control,0
49,33,55,11,Ya,Siang,Manager,Produksi,0
50,36,48,8,Tidak,Pagi,Operator,Produksi,0
51,55,34,26,Tidak,Pagi,Manager,Produksi,1
52,59,45,5,Ya,Siang,Manager,Produksi,0
53,23,41,6,Ya,Malam,Supervisor,Produksi,0
54,21,49,26,Ya,Siang,Operator,Gudang,0
55,25,41,4,Tidak,Pagi,Supervisor,Quality_Control,0
56,23,44,19,Tidak,Pagi,Operator,Gudang,0
57,48,47,20,Tidak,Siang,Manager,Produksi,1
58,37,49,33,Ya,Malam,Manager,Produksi,0
59,45,38,20,Ya,Malam,Operator,Produksi,0
60,53,43,12,Tidak,Pagi,Supervisor,Gudang,0
61,29,42,1,Tidak,Pagi,Supervisor,Gudang,0
62,55,41,26,Ya,Malam,Supervisor,Produksi,0
63,33,53,14,Ya,Siang,Supervisor,Gudang,0
64,50,47,11,Ya,Pagi,Manager,Gudang,0
65,34,38,13,Ya,Pagi,Manager,Produksi,0
66,27,49,3,Tidak,Malam,Manager,Gudang,0
67,33,55,33,Ya,Siang,Manager,Quality_Control,0
68,42,50,6,Tidak,Malam,Manager,Quality_Control,1
69,59,37,10,Tidak,Siang,Supervisor,Quality_Control,1
70,40,42,5,Tidak,Siang,Supervisor,Quality_Control,1
71,35,51,23,Ya,Siang,Supervisor,Produksi,0
